
Wed Sep 14 11:15:48 MSK 2022 Created child node at 1. NOTES
Wed Sep 14 11:17:51 MSK 2022 Created child node at 1. NOTES
Wed Sep 14 11:17:57 MSK 2022 Created child node at 1. THE VERY ROOT NODE
Wed Sep 14 11:22:44 MSK 2022 From DB: note1. NOTES, child of 0
Wed Sep 14 11:22:44 MSK 2022 From DB: note2. child note or not child, child of 1
Wed Sep 14 11:22:44 MSK 2022 From DB: note5. 222, child of 2
Wed Sep 14 11:22:44 MSK 2022 From DB: note6. new empty note, child of 5
Wed Sep 14 11:22:44 MSK 2022 From DB: note9. new empty note, child of 1
Wed Sep 14 11:22:44 MSK 2022 From DB: note10. new empty note, child of 1
Wed Sep 14 11:22:44 MSK 2022 From DB: note11. new empty note, child of 1
Wed Sep 14 11:28:00 MSK 2022 From DB: note1. NOTES, child of 0
Wed Sep 14 11:28:00 MSK 2022 From DB: note2. child note or not child, child of 1
Wed Sep 14 11:28:00 MSK 2022 From DB: note5. 222, child of 2
Wed Sep 14 11:28:00 MSK 2022 From DB: note6. new empty note, child of 5
Wed Sep 14 11:28:00 MSK 2022 From DB: note9. new empty note, child of 1
Wed Sep 14 11:28:00 MSK 2022 From DB: note10. new empty note, child of 1
Wed Sep 14 11:28:00 MSK 2022 From DB: note11. new empty note, child of 1
Wed Sep 14 11:28:22 MSK 2022 From DB: note1. NOTES, child of 0
Wed Sep 14 11:28:22 MSK 2022 From DB: note2. child note or not child, child of 1
Wed Sep 14 11:28:22 MSK 2022 From DB: note5. 222, child of 2
Wed Sep 14 11:28:22 MSK 2022 From DB: note6. new empty note, child of 5
Wed Sep 14 11:28:22 MSK 2022 From DB: note9. new empty note, child of 1
Wed Sep 14 11:28:22 MSK 2022 From DB: note10. new empty note, child of 1
Wed Sep 14 11:28:22 MSK 2022 From DB: note11. new empty note, child of 1
Wed Sep 14 11:29:28 MSK 2022 From DB: note1. NOTES, child of 0
Wed Sep 14 11:29:28 MSK 2022 From DB: note2. child note or not child, child of 1
Wed Sep 14 11:29:28 MSK 2022 From DB: note5. 222, child of 2
Wed Sep 14 11:29:28 MSK 2022 From DB: note6. new empty note, child of 5
Wed Sep 14 11:29:28 MSK 2022 From DB: note9. new empty note, child of 1
Wed Sep 14 11:29:28 MSK 2022 From DB: note10. new empty note, child of 1
Wed Sep 14 11:29:28 MSK 2022 From DB: note11. new empty note, child of 1
